rpm -qa --queryformat "%{name},%{version}-%{release},%{arch}\n" | LANG=C sort
python3-idna,2.5-5.el8,noarch
python3-libcomps,0.1.11-4.el8,x86_64
python3-libdnf,0.48.0-5.0.1.el8,x86_64
python3-libs,3.6.8-31.0.1.el8,x86_64
python3-libxml2,2.9.7-8.0.1.el8,x86_64
python3-lxml,4.2.3-1.el8,x86_64
python3-pcp,5.1.1-3.0.1.el8,x86_64
python3-pip,9.0.3-18.el8,noarch
python3-pip-wheel,9.0.3-18.el8,noarch
python3-ply,3.9-8.el8,noarch
python3-pyOpenSSL,18.0.0-1.el8,noarch
python3-pycparser,2.14-14.el8,noarch
python3-pycurl,7.43.0.2-4.el8,x86_64
python3-pyparsing,2.1.10-7.el8,noarch
python3-pyyaml,3.12-12.el8,x86_64
python3-rpm,4.14.3-4.el8,x86_64
python3-setuptools,39.2.0-6.el8,noarch
python3-setuptools-wheel,39.2.0-6.el8,noarch
python3-six,1.11.0-8.el8,noarch
python3-webencodings,0.5.1-6.el8,noarch
python36,3.6.8-2.module+el8.3.0+7694+550a8252,x86_64
qrencode,3.4.4-5.el8,x86_64
qrencode-libs,3.4.4-5.el8,x86_64
quota,4.04-10.el8,x86_64
quota-nls,4.04-10.el8,noarch
rdma-core,29.0-3.el8,x86_64
readline,7.0-10.el8,x86_64
redhat-release,8.3-1.0.0.1.el8,x86_64
resource-agents,4.1.1-68.el8,x86_64
rootfiles,8.1-22.el8,noarch
rpcbind,1.2.5-7.el8,x86_64
rpm,4.14.3-4.el8,x86_64
rpm-build-libs,4.14.3-4.el8,x86_64
rpm-libs,4.14.3-4.el8,x86_64
rpm-plugin-selinux,4.14.3-4.el8,x86_64
rrdtool,1.7.0-16.el8,x86_64
rsync,3.1.3-9.el8,x86_64
rsyslog,8.1911.0-6.el8,x86_64
rsyslog-mmsnmptrapd,8.1911.0-6.el8,x86_64
rsyslog-snmp,8.1911.0-6.el8,x86_64
ruby,2.5.5-106.module+el8.3.0+7756+e45777e9,x86_64
ruby-irb,2.5.5-106.module+el8.3.0+7756+e45777e9,noarch
ruby-libs,2.5.5-106.module+el8.3.0+7756+e45777e9,x86_64
rubygem-bigdecimal,1.3.4-106.module+el8.3.0+7756+e45777e9,x86_64
rubygem-did_you_mean,1.2.0-106.module+el8.3.0+7756+e45777e9,noarch
rubygem-io-console,0.4.6-106.module+el8.3.0+7756+e45777e9,x86_64
rubygem-json,2.1.0-106.module+el8.3.0+7756+e45777e9,x86_64
rubygem-openssl,2.1.2-106.module+el8.3.0+7756+e45777e9,x86_64
rubygem-psych,3.0.2-106.module+el8.3.0+7756+e45777e9,x86_64
rubygem-rdoc,6.0.1-106.module+el8.3.0+7756+e45777e9,noarch
rubygems,2.7.6.2-106.module+el8.3.0+7756+e45777e9,noarch
samba-client-libs,4.12.3-12.el8.3,x86_64
samba-common,4.12.3-12.el8.3,noarch
samba-common-libs,4.12.3-12.el8.3,x86_64
sed,4.5-2.el8,x86_64
selinux-policy,3.14.3-54.0.1.el8,noarch
selinux-policy-targeted,3.14.3-54.0.1.el8,noarch
setup,2.12.2-6.el8,noarch
sg3_utils,1.44-5.el8,x86_64
sg3_utils-libs,1.44-5.el8,x86_64
shadow-utils,4.6-11.el8,x86_64
slang,2.3.2-3.el8,x86_64
smartmontools,7.1-1.el8,x86_64
snappy,1.1.8-3.el8,x86_64
sos,3.9.1-6.0.1.el8,noarch
sqlite-libs,3.26.0-11.el8,x86_64
squashfs-tools,4.3-19.el8,x86_64
sscg,2.3.3-14.el8,x86_64
strace,5.1-1.el8,x86_64
sudo,1.8.29-6.el8,x86_64
symlinks,1.4-19.el8,x86_64
systemd,239-40.0.1.el8,x86_64
systemd-libs,239-40.0.1.el8,x86_64
systemd-pam,239-40.0.1.el8,x86_64
systemd-udev,239-40.0.1.el8,x86_64
tar,1.30-5.el8,x86_64
tcl,8.6.8-2.el8,x86_64
tcpdump,4.9.3-1.el8,x86_64
time,1.9-3.el8,x86_64
traceroute,2.1.0-6.el8,x86_64
tree,1.7.0-15.el8,x86_64
ttmkfdir,3.0.9-54.el8,x86_64
tzdata,2020a-1.el8,noarch
tzdata-java,2020a-1.el8,noarch
unzip,6.0-43.el8,x86_64
util-linux,2.32.1-24.el8,x86_64
vim-minimal,8.0.1763-15.0.1.el8,x86_64
virt-what,1.18-6.el8,x86_64
watchdog,5.15-1.el8,x86_64
wget,1.19.5-10.0.1.el8,x86_64
which,2.21-12.el8,x86_64
xfsprogs,5.0.0-4.el8,x86_64
xorg-x11-font-utils,7.5-40.el8,x86_64
xorg-x11-fonts-Type1,7.5-19.el8,noarch
xz,5.2.4-3.el8,x86_64
xz-libs,5.2.4-3.el8,x86_64
